Auftragskonto;Buchungstag;Valutadatum;Buchungstext;Verwendungszweck;Glaeubiger ID;Mandatsreferenz;Kundenreferenz (End-to-End);Sammlerreferenz;Lastschrift Ursprungsbetrag;Auslagenersatz Ruecklastschrift;Beguenstigter/Zahlungspflichtiger;Kontonummer/IBAN;BIC (SWIFT-Code);Betrag;Waehrung;Info
DE89370400440532013000;15.12.25;15.12.25;LASTSCHRIFT;Canva Pro Team Abo Dezember 2025;DE98ZZZ09999999999;CANVA-2025-YFN;;;;;Canva Pty Ltd;DE75512108001245126199;HABORDEFXXX;-119,99;EUR;Umsatz gebucht
DE89370400440532013000;12.12.25;12.12.25;ECHTZEIT-UEBERWEISUNG;Catering Winter Event 2025 CODE University;;;;;;;Berliner Catering Service GmbH;DE44500105175407324931;HELADEFFXXX;-1.847,50;EUR;Umsatz gebucht
DE89370400440532013000;10.12.25;10.12.25;GUTSCHRIFT;Foerderung Bertelsmann Stiftung Q4 2025;;;;;;;Bertelsmann Stiftung;DE02120300000000202051;BYLADEM1001;15.000,00;EUR;Umsatz gebucht
DE89370400440532013000;08.12.25;08.12.25;LASTSCHRIFT;Zoom Pro Abo Dezember 2025;DE44ZZZ00000012345;ZOOM-YFN-123;;;;;Zoom Video Communications;DE86210700200123456789;DEUTDEDB210;-149,90;EUR;Umsatz gebucht
DE89370400440532013000;05.12.25;05.12.25;ECHTZEIT-UEBERWEISUNG;Rollup Banner und Flyer Druck Event;;;;;;;FLYERALARM GmbH;DE21200505501015871393;HASPDEHHXXX;-342,80;EUR;Umsatz gebucht
DE89370400440532013000;03.12.25;03.12.25;LASTSCHRIFT;Notion Team Workspace Dezember;DE12ZZZ00000067890;NOTION-YFN-456;;;;;Notion Labs Inc;DE91100000000123456789;BEVODEBB;-96,00;EUR;Umsatz gebucht
DE89370400440532013000;01.12.25;01.12.25;GUTSCHRIFT;Teilnahmegebuehren Winter Event 2025 Sammelüberweisung;;;;;;;Sammelüberweisung 34 Teilnehmer;DE33100110012620778704;NTSBDEB1XXX;1.190,00;EUR;Umsatz gebucht
DE89370400440532013000;28.11.25;28.11.25;ECHTZEIT-UEBERWEISUNG;Reisekostenerstattung Speaker Event Nov;;;;;;;Laura Schneider;DE08700100800094011900;PBNKDEFFXXX;-187,45;EUR;Umsatz gebucht
DE89370400440532013000;25.11.25;25.11.25;LASTSCHRIFT;Google Workspace Nonprofit November;DE55ZZZ00000011111;GOOGLE-NP-789;;;;;Google Ireland Ltd;IE29AIBK93115212345678;AABORIELXXX;-0,00;EUR;Umsatz gebucht
DE89370400440532013000;22.11.25;22.11.25;ECHTZEIT-UEBERWEISUNG;Videoproduktion Steuer Tutorial Reihe;;;;;;;Kreativstudio Berlin UG;DE55100110012620778705;NTSBDEB1XXX;-2.400,00;EUR;Umsatz gebucht
DE89370400440532013000;18.11.25;18.11.25;LASTSCHRIFT;Figma Team Abo November;DE77ZZZ00000022222;FIGMA-YFN-012;;;;;Figma Inc;DE66100110012620778706;NTSBDEB1XXX;-45,00;EUR;Umsatz gebucht
DE89370400440532013000;15.11.25;15.11.25;GUTSCHRIFT;Spende Privatperson M. Schmidt;;;;;;;Martin Schmidt;DE77100110012620778707;NTSBDEB1XXX;500,00;EUR;Umsatz gebucht
DE89370400440532013000;10.11.25;10.11.25;ECHTZEIT-UEBERWEISUNG;Miro Board Team Abo;;;;;;;Miro Inc;DE88100110012620778708;NTSBDEB1XXX;-80,00;EUR;Umsatz gebucht
DE89370400440532013000;05.11.25;05.11.25;LASTSCHRIFT;Slack Pro Workspace November;DE88ZZZ00000033333;SLACK-YFN-345;;;;;Slack Technologies;DE99100110012620778709;NTSBDEB1XXX;-62,50;EUR;Umsatz gebucht
DE89370400440532013000;01.11.25;01.11.25;GUTSCHRIFT;Mitgliedsbeitraege Q4 2025;;;;;;;Sammelüberweisung Mitglieder;DE11100110012620778710;NTSBDEB1XXX;850,00;EUR;Umsatz gebucht
